objectid,sort_id,internet_archive_link,wacz_download_link,pdf_download_link,live_web_link,filename,capture_timeframe,youtubeid,vimeoid,title,publisher,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,rights_blanket,field_test_1,field_test_2,field_test_3
mtzfubs_webarchive_011,11,https://web.archive.org/web/20240530200908/https://www.asor.org/news/2024/05/mt-zion-cemetery-documentation,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_011.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_011.pdf,https://www.asor.org/news/2024/05/mt-zion-cemetery-documentation,mtzfubs_webarchive_011.jpg,,,,Mount Zion – Female Union Band Society Cemetery Documentation Event,American Society of Overseas Research,,2024-06-01,"This article from the American Society of Overseas Research highlights a 2024 documentation project at Mount zion Cemetery, where volunteers worked to map, photograph, and study the historic Black burial ground with help from professional preservationists.",Preservation; Volunteering,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_011,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_012,12,https://web.archive.org/web/20221108022715/https://ddot.dc.gov/event/site-visit-mt-zion-female-union-band-cemetery,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_012.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_012.pdf,https://ddot.dc.gov/event/site-visit-mt-zion-female-union-band-cemetery,mtzfubs_webarchive_012.jpg,,,,Site Visit at Mt. Zion Female Union Band Cemetery,The District Department of Transportation,,2022-10-07,"This announcement from the DC Department of Transportation shares details about a planned site visit to the cemeteries, organized to engage the public in discussions about upcoming preservation works and infrastructure improvements around the historic grounds.",Preservation; Government Recognition; Public Engagement,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_012,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_013,13,https://web.archive.org/web/20250416163426/https://www.historicchevychasedc.org/events/black-chevy-chase-dc-and-mount-zion-cemetery-of-georgetown-connected-in-life-and-death/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_013.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_013.pdf,https://www.historicchevychasedc.org/events/black-chevy-chase-dc-and-mount-zion-cemetery-of-georgetown-connected-in-life-and-death/,mtzfubs_webarchive_013.jpg,,,,Black Chevy Chase DC and Mount Zion Cemetery of Georgetown: Connected in Life and Death,Historic Chevy Chase DC,,2024-02-07,This event posting from Historic Chevy Chase DC promotes a community talk which sought to explore the connections between Black life in Chevy Chase and the Mount Zion/Female Union Band Society cemeteries. It emphasized how historic patterns of segregation and community building helped to shape both the neighborhoods and their burial practices.,Historic Chevy Chase DC; Public Engagement; Community History,History Chevy Chase,,,,mtzfubs_webarchive_013,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_014,14,https://web.archive.org/web/20151006200623/https://dcbikeblogger.wordpress.com/2014/11/05/mt-zion-cemetery/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_014.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_014.pdf,https://dcbikeblogger.wordpress.com/2014/11/05/mt-zion-cemetery/,mtzfubs_webarchive_014.jpg,,,,Mt. Zion Cemetery,The DC Bike Blogger,Michael Washburg,2014-11-05,"This blog post from the DC Bike Blogger shares a personal visit to Mount Zion Cemetery and reflects on its history, including the stories of those buried there. It also details some of the ongoing efforts to preserve it at the time and notes the challenges amidst the urban surroundings.",Blogpost; Preservation; Public History,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_014,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_015,15,https://web.archive.org/web/20240724174244/https://georgetowner.com/articles/2023/06/22/community-grieves-following-desecration-of-childs-tomb-at-citys-oldest-black-cemetery-in-georgetown/ ,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_015.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_015.pdf,https://georgetowner.com/articles/2023/06/22/community-grieves-following-desecration-of-childs-tomb-at-citys-oldest-black-cemetery-in-georgetown/,mtzfubs_webarchive_015.jpg,,,,Community Grieves Desecration of Child’s Grave at Georgetown’s Oldest Black Cemetery,The Georgetowner,Christopher Jones,2023-06-22,"This Georgetowner news article reports on the desecration of a child's grave at the Mt. Zion–Female Union Band Society Cemetery in Georgetown. It records the site's historical significance, community reactions to the desecration, and some of the broader challenges of preserving African American burial grounds.",Gravesite Desecration; Black Georgetown Foundation; Public History; Juneteenth,Mount Zion & Female Union Band Society Cemeteries; Black Georgetown,38.911597,-77.054261,"Georgetown Media Group, Inc.",mtzfubs_webarchive_015,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_016,16,https://web.archive.org/web/20241203115411/https://commons.wikimedia.org/wiki/Category:Mount_Zion_Cemetery_(Washington_D.C.),https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_016.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_016.pdf,https://commons.wikimedia.org/wiki/Category:Mount_Zion_Cemetery_(Washington_D.C.),mtzfubs_webarchive_016.jpg,,,,Category:Mount Zion Cemetery (Washington D.C.),Wikipedia,Wikipedia User: FourandSixty,2015-11-02,"This Wikimedia Commons page collects user-submitted photographs of the cemeteries and provides a visual record of the site's landscape, gravestones, and some preservation efforts.",Photography; Preservation,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_016,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_017,17,https://web.archive.org/web/20200929011228/https://www.hmdb.org/m.asp?m=32930,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_017.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_017.pdf,https://www.hmdb.org/m.asp?m=32930,mtzfubs_webarchive_017.jpg,,,,"Mount Zion United Methodist Church and Heritage Center, and the Female Union Band Cemetery Historical Marker",The Historical Marker Database,Richard E. Miller,2010-07-04,This page from the Historical Marker Database documents the official marker at the cemeteries and provides text and context regarding its history.,Historical Marker; Preservation; Public History,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_017,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_018,18,https://web.archive.org/web/20250416205858/https://repository.digital.georgetown.edu/handle/10822/1086168,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_018.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_018.pdf,https://repository.digital.georgetown.edu/handle/10822/1086168,mtzfubs_webarchive_018.jpg,,,,D.C.’s Forgotten Cemetery: Mt. Zion Female Union Band Cemetery’s Struggle with Rememberance and Its Own Turbulent History,Georgetown University,Hannah K. Smulson,2020-04-23,"This Georgetown University repository page hosts a student project examining the cemeteries' history, preservation efforts, and their role in Georgetown's African-American community. It offers a research based perspective on their significance.",Student Research; Preservation; Black Georgetown,Mount Zion & Female Union Band Society Cemeteries; Black Georgetown,,,,mtzfubs_webarchive_018,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_019,19,https://web.archive.org/web/20170818084023/https://www.atlasobscura.com/places/mount-zion-cemeterys-underground-railroad-shelter,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_019.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_019.pdf,https://www.atlasobscura.com/places/mount-zion-cemeterys-underground-railroad-shelter,mtzfubs_webarchive_019.jpg,,,,Mount Zion Cemetery's Underground Railroad Shelter - Atlas Obscura,Atlas Obscura,Elliot Carter,2017-08-15,"This Atlas Obscura entry highlights the cemeteries' connection to the Underground Railroad and focuses on the cemetery vault which was believed to have been used as a shelter for people traveling through Rock Creek Park, on their way to Pennslyvania, to escape slavery.",Underground Railroad; Public History; Cemetery Vault,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_019,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_020,20,https://web.archive.org/web/20250403095009/https://thehoya.com/guide/dcs-hidden-history-unearthing-georgetowns-past-at-mount-zion-cemetery/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_020.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_020.pdf,https://thehoya.com/guide/dcs-hidden-history-unearthing-georgetowns-past-at-mount-zion-cemetery/,mtzfubs_webarchive_020.jpg,,,,DC’S HIDDEN HISTORY: Unearthing Georgetown’s Past at Mount Zion Cemetery,The Hoya,Nikhil Nelson,2022-04-27,"This article, from Georgetown University's The Hoya, explores how Mount Zion Cemetery reveals hidden aspects of Georgetown's past. It focuses on the African-American community's history there, their burial practices, and ongoing efforts to preserve and share these stories.",Student Journalism; Black Georgetown; Preservation,Mount Zion & Female Union Band Society Cemeteries; Black Georgetown,,,,mtzfubs_webarchive_020,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_021,21,https://web.archive.org/web/20220707155316/https://www.fundforsacredplaces.org/participants/mount-zion-united-methodist-church/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_021.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_021.pdf,https://www.fundforsacredplaces.org/participants/mount-zion-united-methodist-church/,mtzfubs_webarchive_021.jpg,,,,Mount Zion United Methodist Church - National Fund For Sacred Places,National Trust for Historic Preservation,,2021,"This page from the National Fund for Sacred Places profiles the Mount Zion United Methodist Church and details its deep ties to Georgetown's African-American history as well as its connection to the Underground Railroad. It also talks about a $100,000 grant that went towards supporting preservation efforts to expand community use of the historic church campus and support cemetery preservation training programs.",Funding; Grants; Mount Zion United Methodist Church; Community Leadership,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_021,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
mtzfubs_webarchive_022,22,https://web.archive.org/web/20220622214600/https://dcist.com/story/22/06/22/inside-the-latest-fight-to-protect-d-c-s-historic-black-cemeteries/,https://github.com/amaoti/mtz-fubs/releases/download/v1.0/mtzfubs_webarchive_022.wacz,https://raw.githubusercontent.com/amaoti/mtz-fubs/main/pdfs/mtzfubs_webarchive_022.pdf,https://dcist.com/story/22/06/22/inside-the-latest-fight-to-protect-d-c-s-historic-black-cemeteries/,mtzfubs_webarchive_022.jpg,,,,Inside The Latest Fight To Protect DC's Historic Black Cemeteries,DCist,Josh Axelrod,2022-06-22,This article from DCist covers the latest preservation efforts to protect the Mount Zion and Female Union Band Society Cemeteries. It talks about ongoing challenges like vandalism and underfunding faced by the sites. It also profiles Lisa Fager and Neville waters who talked about pushing for greator official reconigition and sustainable restoration.,Preservation; Community Leadership; Lisa Fager,Mount Zion & Female Union Band Society Cemeteries,,,,mtzfubs_webarchive_022,Image;StillImage,image/jpg,eng,All rights reserved by original source. Provided here for educational and preservation purposes,,"This web archive preserves a snapshot of the source site for research and educational use under fair use and archival exemptions (17 U.S.C. §§ 107, 108). It supports documentation of the Mount Zion and Female Union Band Society cemeteries and their role in Black Georgetown history. Content is not used commercially, and no ownership is claimed. Rights holders may request changes via the email listed on the About page.",,,
